X,Y0,Y1,Y2
2012,17.49,0.28,2.01
2012,17.73,0.29,2.07
2012,17.37,0.29,1.99
2012,17.43,0.29,2.04
2012,17.28,0.28,2.04
2012,17.31,0.28,2.0
2012,17.71,0.29,2.16
2012,17.77,0.31,2.18
2012,17.75,0.31,2.3
2012,17.72,0.31,2.29
2012,17.54,0.3,2.27
2012,17.47,0.3,2.27
2012,17.31,0.29,2.16
2012,17.38,0.3,2.16
2012,17.29,0.31,2.14
2012,17.59,0.32,2.19
2012,17.88,0.32,2.12
2012,18.08,0.32,2.07
2012,18.51,0.32,2.11
2012,18.33,0.31,2.12
2012,18.49,0.31,2.12
2012,18.67,0.31,2.17
2012,18.31,0.3,2.11
2012,18.18,0.29,2.2
2012,18.29,0.29,2.29
2012,18.43,0.29,2.4
2012,18.42,0.29,2.35
2012,18.33,0.3,2.24
2012,18.54,0.31,2.21
2012,18.51,0.3,2.15
2012,18.25,0.3,2.09
2012,18.37,0.3,2.07
2012,17.5,0.3,2.0
2012,17.49,0.31,2.0
2012,17.65,0.31,1.98
2012,18.06,0.31,2.02
2012,18.43,0.31,1.86
2012,18.57,0.32,1.87
2012,18.4,0.31,1.79
2012,18.62,0.32,1.84
2012,18.83,0.32,1.91
2012,18.83,0.33,2.06
2012,18.8,0.33,2.0
2012,18.81,0.34,2.0
2012,18.81,0.35,2.0
2012,19.06,0.34,2.09
2012,19.32,0.34,2.08
2012,19.18,0.34,1.98
2012,19.27,0.34,2.03
2012,19.61,0.34,2.05
2012,20.12,0.34,2.03
2012,20.42,0.34,2.0
2012,20.24,0.34,2.0
2012,20.27,0.34,2.06
2012,20.26,0.34,2.02
2012,20.6,0.34,1.98
2012,20.46,0.33,1.96
2012,20.5,0.33,1.91
2012,20.32,0.33,1.92
2012,20.23,0.33,1.92
2012,20.43,0.32,1.93
2012,20.46,0.31,1.9
2012,20.52,0.32,1.93
2012,20.65,0.31,1.97
2012,20.67,0.31,1.96
2012,20.27,0.31,1.88
2012,20.27,0.31,1.91
2012,20.74,0.32,1.97
2012,21.09,0.32,2.04
2012,21.17,0.32,2.19
2012,21.25,0.31,2.13
2012,21.3,0.32,2.12
2012,21.18,0.32,2.1
2012,21.33,0.32,2.1
2012,21.03,0.31,2.07
2012,20.96,0.32,1.97
2012,20.35,0.31,1.89
2012,20.64,0.3,1.9
2012,20.61,0.31,1.99
2012,20.48,0.31,1.99
2012,20.16,0.3,1.99
2012,20.33,0.3,2.0
2012,20.4,0.31,2.01
2012,20.15,0.32,1.99
2012,19.59,0.31,1.96
2012,19.38,0.3,1.94
2012,19.51,0.3,1.91
2012,19.58,0.29,1.93
2012,19.22,0.29,1.92
2012,19.22,0.29,1.87
2012,19.68,0.3,1.87
2012,19.75,0.3,1.92
2012,19.43,0.3,1.93
2012,19.11,0.29,1.88
2012,19.22,0.28,1.87
2012,19.18,0.28,1.9
2012,18.96,0.29,1.9
2012,18.82,0.28,1.85
2012,18.58,0.28,1.85
2012,18.21,0.28,1.89
2012,18.24,0.29,1.97
2012,18.06,0.29,1.97
2012,17.78,0.3,2.11
2012,17.87,0.3,2.08
2012,17.46,0.3,2.14
2012,17.09,0.3,2.13
2012,16.87,0.3,2.06
2012,16.85,0.28,2.09
2012,16.73,0.28,2.13
2012,16.64,0.28,2.14
2012,16.4,0.27,2.1
2012,16.11,0.27,2.13
2012,17.25,0.27,2.22
2012,17.38,0.27,2.21
2012,17.24,0.27,2.23
2012,17.39,0.28,2.19
2012,17.93,0.28,2.15
2012,17.95,0.28,2.18
2012,17.8,0.28,2.29
2012,18.06,0.28,2.27
2012,17.88,0.28,2.29
2012,18.07,0.28,2.33
2012,17.68,0.28,2.32
2012,17.3,0.28,2.28
2012,16.82,0.28,2.32
2012,16.87,0.28,2.3
2012,16.37,0.29,2.32
2012,16.7,0.3,2.37
2012,16.66,0.29,2.39
2012,16.34,0.29,2.35
2012,15.75,0.29,2.29
2012,15.8,0.29,2.3
2012,16.26,0.29,2.34
2012,16.22,0.3,2.35
2012,16.12,0.29,2.32
2012,15.79,0.29,2.28
2012,15.93,0.29,2.29
2012,15.79,0.29,2.3
2012,15.69,0.28,2.26
2012,15.64,0.28,2.24
2012,16.27,0.28,2.26
2013,16.87,0.29,2.36
2013,16.71,0.3,2.36
2013,16.37,0.3,2.32
2013,16.09,0.3,2.32
2013,16.17,0.3,2.3
2013,15.96,0.29,2.28
2013,16.07,0.29,2.27
2013,15.97,0.28,2.27
2013,15.43,0.28,2.23
2013,15.17,0.28,2.28
2013,15.48,0.28,2.28
2013,15.52,0.28,2.32
2013,15.26,0.28,2.32
2013,15.44,0.28,2.37
2013,15.65,0.28,2.42
2013,14.16,0.28,2.51
2013,13.87,0.29,2.5
2013,13.77,0.29,2.58
2013,13.99,0.29,2.56
2013,14.06,0.29,2.53
2013,13.96,0.29,2.52
2013,13.97,0.29,2.57
